entity,cluster_id,source_path
org.apache.lucene.codecs.blockterms.TermsIndexReaderBase,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blockterms/TermsIndexReaderBase.java
org.apache.lucene.codecs.blockterms.TermsIndexWriterBase,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blockterms/TermsIndexWriterBase.java
org.apache.lucene.codecs.blockterms.VariableGapTermsIndexReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blockterms/VariableGapTermsIndexReader.java
org.apache.lucene.codecs.blockterms.VariableGapTermsIndexWriter,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blockterms/VariableGapTermsIndexWriter.java
org.apache.lucene.codecs.blocktreeords.BlockTreeOrdsPostingsFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/BlockTreeOrdsPostingsFormat.java
org.apache.lucene.codecs.blocktreeords.FSTOrdsOutputs,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/FSTOrdsOutputs.java
org.apache.lucene.codecs.blocktreeords.OrdsBlockTreeTermsReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsReader.java
org.apache.lucene.codecs.blocktreeords.OrdsBlockTreeTermsWriter,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter.java
org.apache.lucene.codecs.blocktreeords.OrdsFieldReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsFieldReader.java
org.apache.lucene.codecs.blocktreeords.OrdsIntersectTermsEnum,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsIntersectTermsEnum.java
org.apache.lucene.codecs.blocktreeords.OrdsIntersectTermsEnumFrame,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsIntersectTermsEnumFrame.java
org.apache.lucene.codecs.blocktreeords.OrdsSegmentTermsEnum,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnum.java
org.apache.lucene.codecs.blocktreeords.OrdsSegmentTermsEnumFrame,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnumFrame.java
org.apache.lucene.codecs.bloom.BloomFilterFactory,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/bloom/BloomFilterFactory.java
org.apache.lucene.codecs.bloom.BloomFilteringPostingsFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/bloom/BloomFilteringPostingsFormat.java
org.apache.lucene.codecs.bloom.DefaultBloomFilterFactory,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/bloom/DefaultBloomFilterFactory.java
org.apache.lucene.codecs.bloom.FuzzySet,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/bloom/FuzzySet.java
org.apache.lucene.codecs.bloom.HashFunction,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/bloom/HashFunction.java
org.apache.lucene.codecs.memory.DirectPostingsFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/memory/DirectPostingsFormat.java
org.apache.lucene.codecs.memory.FSTPostingsFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/memory/FSTPostingsFormat.java
org.apache.lucene.codecs.memory.FSTTermOutputs,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/memory/FSTTermOutputs.java
org.apache.lucene.codecs.memory.FSTTermsReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/memory/FSTTermsReader.java
org.apache.lucene.codecs.memory.FSTTermsWriter,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/memory/FSTTermsWriter.java
org.apache.lucene.codecs.simpletext.SimpleTextBKDReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextBKDReader.java
org.apache.lucene.codecs.simpletext.SimpleTextBKDWriter,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextBKDWriter.java
org.apache.lucene.codecs.simpletext.SimpleTextCompoundFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextCompoundFormat.java
org.apache.lucene.codecs.simpletext.SimpleTextDocValuesFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextDocValuesFormat.java
org.apache.lucene.codecs.simpletext.SimpleTextDocValuesReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader.java
org.apache.lucene.codecs.simpletext.SimpleTextDocValuesWriter,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextDocValuesWriter.java
org.apache.lucene.codecs.simpletext.SimpleTextFieldInfosFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextFieldInfosFormat.java
org.apache.lucene.codecs.simpletext.SimpleTextFieldsReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextFieldsReader.java
org.apache.lucene.codecs.simpletext.SimpleTextFieldsWriter,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextFieldsWriter.java
org.apache.lucene.codecs.simpletext.SimpleTextLiveDocsFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextLiveDocsFormat.java
org.apache.lucene.codecs.simpletext.SimpleTextNormsFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextNormsFormat.java
org.apache.lucene.codecs.simpletext.SimpleTextPointsFormat,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextPointsFormat.java
org.apache.lucene.codecs.simpletext.SimpleTextPointsReader,4,/scratch/hpc-prf-dssecs/group4/src/lucene/lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextPointsReader.java
